agreement_type,agreement_type_issue,cicumstance_invoked_code,circumstance_invoked,first_resolution_code,first_resolution,second_resolution_code,second_resolution
"-> for the two last ones there is a modification in cancellation, I explain later","Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_pricing_payments_service_price_lacking,Total price not given before purchase,7_1_issue_with_pricing_payments,I want to get a refund,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"-> for the two last ones there is a modification in cancellation, I explain later",Service has not been delivered,6_2_33_non_delivery_of_service,Non delivery of service,7_2_issue_with_delivery_extension,I want to give seller 14 extra days to deliver,7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase."
"-> for the two last ones there is a modification in cancellation, I explain later",Service has not been delivered,6_2_33_non_delivery_of_service,Non delivery of service,7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase.",7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase."
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms_exclusion_consumers_right_to_compensation_if_trader_doesnt_keep_his_side_of_contract,Terms which inappropriately exclude/limit consumers´ rights to compensation if the trader doesn´t keep to his side of the contract,7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s),7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s)
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms_which_bind_the_consumer_but_allow_traders_to_get_out_of_providing_a_service_just_because_it_doesnt_suit_them,Terms which bind the consumer but allow traders to get out of providing a service just because it doesn´t suit them,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which require a consumer who doesn´t fulfil an obligation to pay an unreasonably high amount of compensation,Terms which require a consumer who doesn´t fulfil an obligation to pay an unreasonably high amount of compensation,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right,Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified","Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early,Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which bind consumers even though they could not easily have been aware of them before signing the contract,Terms which bind consumers even though they could not easily have been aware of them before signing the contract,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so","Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed","Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow a trader to make changes to the product or service to be provided unilaterally and without a valid reason,Terms which allow a trader to make changes to the product or service to be provided unilaterally and without a valid reason,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed","Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow the trader to transfer the contract without the consumer's consent and which may give the consumer a worse deal,Terms which allow the trader to transfer the contract without the consumer's consent and which may give the consumer a worse deal,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"-> for the two last ones there is a modification in cancellation, I explain later",Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract,Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_30_non_payment_reimbursement_price_of_service,Non reimbursement - price of service,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_30_non_payment_reimbursment_shipping_charges,Non reimbursement - shipping charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_30_non_payment_reimbursment_shipping_charges_price_service,Non reimbursement - shipping charges and price of service,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_30_non_payment_reimbursment_other_charges,Non reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_31_insufficient_reimbursment_price_of_service,Insufficient reimbursement - price of service,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_31_insufficient_reimbursment_shipping_charges,Insufficient reimbursement -shipping charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_31_insufficient_reimbursment_shipping_charges_price_of_service,Insufficient reimbursement -shipping charges and price of service,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Cancellation,6_02_31_insufficient_reimbursment_other_charges,Insufficient reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_pricing_payment_surcharge_payment_card,"Surcharge fees for the use of cards, other means of payment",7_1_issue_with_pricing_payments,I want to get a refund,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_specify_pricing_payment_additional_services,Charges for additional services,7_1_issue_with_pricing_payments,I want to get a refund,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_pricing_payment_discrimination,Price discrimination,7_1_issue_with_pricing_payments,I want to get a refund,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_pricing_payments_service_price_lacking,Total price not given before purchase,7_1_issue_with_pricing_payments,I want to get a refund,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms_exclusion_consumers_right_to_compensation_if_trader_doesnt_keep_his_side_of_contract,Terms which inappropriately exclude/limit consumers´ rights to compensation if the trader doesn´t keep to his side of the contract,7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s),7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s)
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms_which_bind_the_consumer_but_allow_traders_to_get_out_of_providing_a_service_just_because_it_doesnt_suit_them,Terms which bind the consumer but allow traders to get out of providing a service just because it doesn´t suit them,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which require a consumer who doesn´t fulfil an obligation to pay an unreasonably high amount of compensation,Terms which require a consumer who doesn´t fulfil an obligation to pay an unreasonably high amount of compensation,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right,Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified","Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early,Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which bind consumers even though they could not easily have been aware of them before signing the contract,Terms which bind consumers even though they could not easily have been aware of them before signing the contract,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so","Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed","Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow a trader to make changes to the product or service to be provided unilaterally and without a valid reason,Terms which allow a trader to make changes to the product or service to be provided unilaterally and without a valid reason,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,"6_02_36_unfair_terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed","Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which allow the trader to transfer the contract without the consumer's consent and which may give the consumer a worse deal,Terms which allow the trader to transfer the contract without the consumer's consent and which may give the consumer a worse deal,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
14 Insurance contract,Seller of service has unfair contract terms and claims these terms for resolution of issue,6_02_36_unfair_terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract,Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
